56172,199.2,26.5
84807,296.3,219.9
77837,259.9,178.5
80469,281.3,187.8
61411,219,166.5
73922,261.2,132
82080,282.1,83.88
89369,314.7,169.7
71874,248.6,30.56
59470,202.6,37.56
55418,199.4,5.177
80629,273.3,247
83289,293.8,248
79930,280.9,31.55
66989,235.9,119.8
91723,312.9,168.3
74339,258.4,74.37
89548,314.3,193.1
56304,201.7,142.8
60911,218.7,109.8
83903,291.2,69.23
89643,308.9,193.1
85256,292.4,230
68831,230.1,186.5
62483,211.6,104.4
84520,300.4,240.4
87043,292.4,65.75
65464,226.6,136.8
63521,221,244.7
66429,232.9,68.32
83429,298,64.15
85446,297.5,237.5
74183,265,17.81
77227,265.2,76.41
67841,229,151.6
81052,281.6,52.15
87120,294.1,162.2
70294,248.6,204.2
71314,248.7,128.5
71694,251.4,166.6
65837,227.8,203.3
80132,278.8,60.01
89750,307.6,153.9
90183,308.5,28.48
80935,287.6,132.5
64819,225.4,214.5
78737,280.4,235.9
60565,208.1,127.6
56552,207.5,71.85
62868,216.4,166.5
63626,210.5,235
75912,267.6,130.4
57516,201.4,249.3
84336,296.9,50.17
81206,284.7,28.81
88040,310.6,75.98
70595,254.6,101.3
82730,276,107.5
87753,305.5,79.79
74908,260.9,177.2
66747,228.3,23.11
88025,316.6,103.2
58173,196.5,75.87
68833,234.6,79.11
89038,316.8,26.98
68450,238.4,152.1
65257,232.3,72.47
59741,207.7,39.93
91895,309.4,0.3143
64271,209.6,72.88
68724,234.1,141.1
89340,307.5,222.8
75340,256.4,10.73
76901,270.6,231.3
76485,266.6,33.57
80596,281,213.1
59007,195.3,204.8
75215,259.9,235.1
55313,196.1,34.82
87095,297.4,129.3
64828,235.9,103.9
87105,300.2,45.06
60538,223.9,147.6
74136,266.2,154.7
89672,312.2,54.7
55625,198.7,132.9
58214,199,253.7
58446,194.2,125.2
81530,279.2,177.6
74396,268.5,104.9
57369,206.2,8.805
87337,293.7,74.86
74717,271,205.2
58211,201.1,88.73
56246,200.6,20.64
60848,209.6,131.2
84391,292.9,94.12
57870,204.2,189.5
62804,222.2,134.3
64931,224.1,206.3
